,num_mc_samples,model_train_size,image_id,agg_uncertainty
198,20,270,acdc_data3_20210722_pos_18_120,0.20939296
199,20,270,acdc_data3_20210722_pos_18_123,0.26435727
200,20,270,acdc_data3_20210722_pos_18_126,0.21001638
201,20,270,acdc_data3_20210722_pos_18_129,0.21827537
202,20,270,acdc_data3_20210722_pos_18_132,0.009047619
203,20,270,acdc_data3_20210722_pos_18_135,0.10572593
204,20,270,acdc_data3_20210722_pos_18_138,0.05186569
205,20,270,acdc_data3_20210722_pos_18_141,0.09768758
206,20,270,acdc_data3_20210722_pos_18_144,0.115373835
207,20,270,acdc_data3_20210722_pos_18_147,0.09267523
208,20,270,acdc_data3_20210722_pos_18_15,0.0
209,20,270,acdc_data3_20210722_pos_18_150,0.08610098
210,20,270,acdc_data3_20210722_pos_18_153,0.056495078
211,20,270,acdc_data3_20210722_pos_18_156,0.08046117
212,20,270,acdc_data3_20210722_pos_18_159,0.12006673
213,20,270,acdc_data3_20210722_pos_18_162,0.14974394
214,20,270,acdc_data3_20210722_pos_18_165,0.10234531
215,20,270,acdc_data3_20210722_pos_18_168,0.099723324
216,20,270,acdc_data3_20210722_pos_18_171,0.05019081
217,20,270,acdc_data3_20210722_pos_18_174,0.17299424
218,20,270,acdc_data3_20210722_pos_18_177,0.15372813
219,20,270,acdc_data3_20210722_pos_18_18,0.0
220,20,270,acdc_data3_20210722_pos_18_180,0.18823916
221,20,270,acdc_data3_20210722_pos_18_183,0.18670285
222,20,270,acdc_data3_20210722_pos_18_186,0.09417097
223,20,270,acdc_data3_20210722_pos_18_189,0.1325951
224,20,270,acdc_data3_20210722_pos_18_192,0.14146963
225,20,270,acdc_data3_20210722_pos_18_195,0.1374124
226,20,270,acdc_data3_20210722_pos_18_198,0.17793654
227,20,270,acdc_data3_20210722_pos_18_21,0.0
228,20,270,acdc_data3_20210722_pos_18_24,0.08844599
229,20,270,acdc_data3_20210722_pos_18_27,0.0
230,20,270,acdc_data3_20210722_pos_18_3,0.2650477
231,20,270,acdc_data3_20210722_pos_18_30,0.24251144
232,20,270,acdc_data3_20210722_pos_18_33,0.2323784
233,20,270,acdc_data3_20210722_pos_18_36,0.19889617
234,20,270,acdc_data3_20210722_pos_18_39,0.12225335
