,num_mc_samples,dropout_prob,model_train_size,image_id,run_id,agg_uncertainty
155,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,5,0.04006379
156,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,6,0.03980555
157,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,7,0.041371763
158,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,8,0.038422775
159,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_141,9,0.039666716
160,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,0,0.02973796
161,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,1,0.030018631
162,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,2,0.030975107
163,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,3,0.029584501
164,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,4,0.029325001
165,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,5,0.031108905
166,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,6,0.03051528
167,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,7,0.03027143
168,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,8,0.030171487
169,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_144,9,0.02910367
170,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,0,0.0
171,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,1,0.0
172,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,2,0.0
173,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,3,0.0
174,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,4,0.0
175,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,5,0.0
176,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,6,0.0
177,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,7,0.0
178,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,8,0.0
179,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_147,9,0.0
180,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,0,0.0
181,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,1,0.0
182,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,2,0.0
183,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,3,0.0
184,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,4,0.0
185,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,5,0.0
186,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,6,0.0
187,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,7,0.0
188,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,8,0.0
189,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_15,9,0.0
190,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,0,0.0
191,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,1,0.0
192,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,2,0.0
193,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,3,0.0
194,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,4,0.0
195,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,5,0.0
196,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,6,0.0
197,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,7,0.0
198,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,8,0.0
199,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,9,0.0
200,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,0,0.0
201,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,1,0.017314358
202,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,2,0.0
203,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,3,0.019188562
204,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,4,0.01769873
205,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,5,0.017707404
206,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,6,0.0
207,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,7,0.018390357
208,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,8,0.0190288
209,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,9,0.017546363
210,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,0,0.0
211,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,1,0.0
212,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,2,0.0
213,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,3,0.0
214,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,4,0.0
215,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,5,0.0
216,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,6,0.0
217,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,7,0.0
218,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,8,0.0
219,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,9,0.0
220,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,0,0.08457155
221,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,1,0.084897436
222,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,2,0.08266353
223,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,3,0.08499581
224,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,4,0.08442513
225,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,5,0.079332694
226,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,6,0.084733464
227,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,7,0.08258777
228,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,8,0.08029959
229,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_159,9,0.08299107
230,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,0,0.01748024
231,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,1,0.018101787
232,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,2,0.01818991
233,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,3,0.018150605
234,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,4,0.018218784
235,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,5,0.018343834
236,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,6,0.017643148
237,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,7,0.018068988
238,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,8,0.0179934
239,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_162,9,0.018412631
240,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,0,0.018753111
241,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,1,0.01754406
242,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,2,0.0336234
243,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,3,0.01783999
244,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,4,0.019200407
245,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,5,0.018321272
246,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,6,0.018483479
247,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,7,0.018280772
248,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,8,0.03481576
249,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_165,9,0.018248774
250,20,0.05,270,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_168,0,0.034628306
