,num_mc_samples,model_train_size,image_id,run_id,agg_uncertainty
197,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,7,0.30159083
198,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,8,0.28197217
199,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_150,9,0.27603936
200,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,0,0.2252275
201,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,1,0.24510083
202,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,2,0.2459343
203,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,3,0.25157624
204,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,4,0.24632424
205,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,5,0.23533836
206,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,6,0.25644922
207,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,7,0.24255466
208,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,8,0.24377702
209,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_153,9,0.23549113
210,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,0,0.3249558
211,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,1,0.32645854
212,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,2,0.30667534
213,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,3,0.35178074
214,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,4,0.3320334
215,20,15,TimeLapse_2D_MIA_KC_htb1_mCitrine_labeled_pos_5_156,5,0.32175463
